batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_runs_x,crr,rrr,results
Delhi Capitals,Kolkata Knight Riders,Pune,66,46,7,163,7.86,8.61,0
Kolkata Knight Riders,Chennai Super Kings,Centurion,131,81,9,189,8.92,9.7,1
Kings XI Punjab,Kolkata Knight Riders,Indore,250,119,10,251,6.0,12.61,0
Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,121,102,9,134,4.33,7.12,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,162,60,6,242,8.0,16.2,0
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,151,89,10,190,7.55,10.18,0
Kings XI Punjab,Chennai Super Kings,Durban,117,119,10,117,0.0,5.9,0
Delhi Capitals,Rajasthan Royals,Delhi,12,26,5,125,7.21,2.77,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,108,100,9,115,2.1,6.48,1
Chennai Super Kings,Kolkata Knight Riders,Kolkata,103,101,10,120,5.37,6.12,1
Royal Challengers Bangalore,Rajasthan Royals,Ahmedabad,17,36,9,131,8.14,2.83,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,152,101,7,165,4.11,9.03,0
Rajasthan Royals,Delhi Capitals,Jaipur,92,70,10,155,7.56,7.89,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,99,78,8,183,12.0,7.62,1
Royal Challengers Bangalore,Chennai Super Kings,Chennai,194,110,9,206,7.2,10.58,0
Rajasthan Royals,Delhi Capitals,Delhi,135,89,10,204,13.35,9.1,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,141,95,8,168,6.48,8.91,0
Kings XI Punjab,Sunrisers Hyderabad,Mohali,48,33,9,159,7.66,8.73,1
Kolkata Knight Riders,Kings XI Punjab,Pune,73,51,5,156,7.22,8.59,1
Rajasthan Royals,Mumbai Indians,Jaipur,81,99,10,95,4.0,4.91,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,15,40,9,123,8.1,2.25,1
Delhi Capitals,Rajasthan Royals,Delhi,62,38,8,166,7.61,9.79,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,78,40,6,170,6.9,11.7,0
Mumbai Indians,Kings XI Punjab,Mumbai,224,116,10,231,10.5,11.59,0
Rajasthan Royals,Mumbai Indians,Mumbai,3,13,7,178,9.81,1.38,1
Delhi Capitals,Kings XI Punjab,Dharamsala,157,110,10,171,8.4,8.56,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,132,90,7,180,9.6,8.8,1
Mumbai Indians,Kings XI Punjab,Mumbai,193,111,10,205,8.0,10.43,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,35,13,6,187,8.52,16.15,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,44,24,6,158,7.12,11.0,0
Kings XI Punjab,Sunrisers Hyderabad,Kimberley,140,102,10,169,9.67,8.24,1
Mumbai Indians,Kings XI Punjab,Chandigarh,166,116,10,169,4.5,8.59,1
Rajasthan Royals,Kings XI Punjab,Jaipur,55,28,8,201,9.52,11.79,0
Delhi Capitals,Rajasthan Royals,Jaipur,47,26,8,197,9.57,10.85,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,35,29,7,161,8.31,7.24,1
Rajasthan Royals,Sunrisers Hyderabad,Mumbai,51,16,4,202,8.71,19.12,0
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,123,102,8,147,8.0,7.24,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,91,89,8,131,7.74,6.13,1
Rajasthan Royals,Chennai Super Kings,Chennai,154,90,7,183,5.8,10.27,0
Mumbai Indians,Chennai Super Kings,Chennai,41,20,7,159,7.08,12.3,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,136,70,9,206,8.4,11.66,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,44,66,8,159,12.78,4.0,1
Chennai Super Kings,Rajasthan Royals,Jaipur,84,70,8,127,5.16,7.2,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,195,112,10,212,12.75,10.45,0
Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam,102,72,10,172,8.75,8.5,1
Chennai Super Kings,Delhi Capitals,Visakhapatnam,70,61,10,156,8.75,6.89,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,158,88,7,212,10.12,10.77,0
Delhi Capitals,Mumbai Indians,Mumbai,52,3,1,210,8.1,104.0,0
Delhi Capitals,Rajasthan Royals,Mumbai,148,88,8,190,7.88,10.09,0
Delhi Capitals,Royal Challengers Bangalore,Delhi,93,57,7,184,8.67,9.79,0
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,101,82,10,167,10.42,7.39,1
Kolkata Knight Riders,Mumbai Indians,Kolkata,171,84,8,218,7.83,12.21,0
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,131,74,8,186,7.17,10.62,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,166,51,2,223,4.96,19.53,0
Kings XI Punjab,Delhi Capitals,Delhi,37,5,4,232,10.17,44.4,0
Delhi Capitals,Chennai Super Kings,Chennai,57,59,6,113,5.51,5.8,0
Rajasthan Royals,Chennai Super Kings,Chennai,139,98,10,158,5.18,8.51,0
Sunrisers Hyderabad,Kings XI Punjab,Sharjah,168,97,9,194,6.78,10.39,0
Royal Challengers Bangalore,Delhi Capitals,Bangalore,96,51,7,184,7.65,11.29,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,147,87,10,191,8.0,10.14,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,27,40,8,120,6.98,4.05,1
Delhi Capitals,Mumbai Indians,Mumbai,121,80,9,174,7.95,9.07,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,63,52,7,206,12.62,7.27,1
Kings XI Punjab,Chennai Super Kings,Abu Dhabi,32,23,6,206,10.76,8.35,1
Kings XI Punjab,Delhi Capitals,Delhi,20,35,6,121,7.13,3.43,1
Mumbai Indians,Kings XI Punjab,Chandigarh,116,60,6,183,6.7,11.6,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,224,113,10,233,7.71,11.89,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,57,26,7,161,6.64,13.15,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,89,91,9,127,7.86,5.87,1
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,66,55,8,155,8.22,7.2,1
Kings XI Punjab,Chennai Super Kings,Centurion,137,88,9,186,9.19,9.34,0
Delhi Capitals,Mumbai Indians,Mumbai,141,96,8,163,5.5,8.81,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,73,65,9,144,7.75,6.74,1
Delhi Capitals,Mumbai Indians,Sharjah,69,58,9,126,5.52,7.14,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,123,105,9,145,8.8,7.03,1
Rajasthan Royals,Mumbai Indians,Mumbai,128,117,10,134,12.0,6.56,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,1,10,9,160,8.67,0.6,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,103,67,8,162,6.68,9.22,1
Sunrisers Hyderabad,Chennai Super Kings,East London,83,46,4,179,7.78,10.83,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,101,88,9,132,5.81,6.89,1
Chennai Super Kings,Mumbai Indians,Hyderabad,115,90,9,153,7.6,7.67,0
Rajasthan Royals,Mumbai Indians,Jaipur,73,58,7,172,9.58,7.55,1
Kings XI Punjab,Mumbai Indians,Mumbai,112,68,9,160,5.54,9.88,0
Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,142,88,9,186,8.25,9.68,0
Royal Challengers Bangalore,Kings XI Punjab,Dharamsala,190,79,7,233,6.29,14.43,0
Delhi Capitals,Mumbai Indians,Delhi,161,115,10,162,1.2,8.4,0
Kings XI Punjab,Rajasthan Royals,Sharjah,162,91,8,192,6.21,10.68,1
Kolkata Knight Riders,Rajasthan Royals,Jaipur,98,84,9,160,10.33,7.0,1
Kings XI Punjab,Rajasthan Royals,Jaipur,86,39,5,192,7.85,13.23,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,133,104,9,161,10.5,7.67,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,179,119,10,179,0.0,9.03,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,129,75,7,172,5.73,10.32,1
Chennai Super Kings,Mumbai Indians,Hyderabad,35,17,6,153,6.87,12.35,0
Delhi Capitals,Kings XI Punjab,Delhi,73,55,6,137,5.91,7.96,0
Mumbai Indians,Delhi Capitals,Mumbai,124,93,7,153,6.44,8.0,1
Rajasthan Royals,Royal Challengers Bangalore,Centurion,74,82,9,106,5.05,5.41,1
Mumbai Indians,Royal Challengers Bangalore,Bangalore,29,21,5,143,6.91,8.29,1
Chennai Super Kings,Kings XI Punjab,Mumbai,62,74,9,113,6.65,5.03,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,43,28,6,166,8.02,9.21,1
Delhi Capitals,Rajasthan Royals,Delhi,80,86,8,125,7.94,5.58,1
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,157,94,8,176,4.38,10.02,0
Kolkata Knight Riders,Delhi Capitals,Delhi,79,22,3,224,8.88,21.55,0
Mumbai Indians,Kings XI Punjab,Mumbai,58,34,7,164,7.4,10.24,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,86,75,8,131,6.0,6.88,1
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,82,93,10,118,8.0,5.29,1
Royal Challengers Bangalore,Delhi Capitals,Delhi,73,72,8,161,11.0,6.08,1
Royal Challengers Bangalore,Mumbai Indians,Johannesburg,135,111,10,150,10.0,7.3,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,95,50,9,204,9.34,11.4,1
Chennai Super Kings,Kings XI Punjab,Pune,46,26,6,165,7.6,10.62,1
Mumbai Indians,Delhi Capitals,Delhi,46,8,3,208,8.68,34.5,0
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,158,102,8,178,6.67,9.29,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,33,9,3,184,8.16,22.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,10,-1,1,133,6.1,-60.0,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,48,21,5,171,7.45,13.71,1
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,89,58,9,165,7.35,9.21,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,157,107,9,174,7.85,8.8,0
Mumbai Indians,Sunrisers Hyderabad,Hyderabad,109,76,9,158,6.68,8.61,1
Sunrisers Hyderabad,Mumbai Indians,Mumbai,51,21,5,171,7.27,14.57,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,138,104,9,163,9.38,7.96,1
Kolkata Knight Riders,Royal Challengers Bangalore,Ranchi,80,81,8,116,5.54,5.93,1
Chennai Super Kings,Royal Challengers Bangalore,Mumbai,151,84,8,176,4.17,10.79,1
Mumbai Indians,Delhi Capitals,Delhi,119,95,9,165,11.04,7.52,0
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,106,100,10,140,10.2,6.36,1
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,70,33,5,137,4.62,12.73,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,131,103,9,156,8.82,7.63,0
Sunrisers Hyderabad,Kings XI Punjab,Mohali,159,83,7,202,6.97,11.49,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,119,55,6,192,6.74,12.98,0
Kings XI Punjab,Mumbai Indians,Chandigarh,41,33,8,155,7.86,7.45,1
Delhi Capitals,Sunrisers Hyderabad,Raipur,102,66,8,164,6.89,9.27,0
Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,64,34,4,158,6.56,11.29,0
Rajasthan Royals,Delhi Capitals,Delhi,157,95,6,189,7.68,9.92,0
Kings XI Punjab,Delhi Capitals,Chandigarh,71,56,7,159,8.25,7.61,1
Chennai Super Kings,Delhi Capitals,Durban,31,20,5,190,9.54,9.3,0
Chennai Super Kings,Rajasthan Royals,Chennai,131,107,10,147,7.38,7.35,1
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,85,58,10,171,8.32,8.79,0
Chennai Super Kings,Rajasthan Royals,Jaipur,154,109,8,159,2.73,8.48,1
Kings XI Punjab,Sunrisers Hyderabad,Mohali,94,63,9,159,6.84,8.95,1
Mumbai Indians,Kings XI Punjab,Dharamsala,64,17,3,184,6.99,22.59,0
Kings XI Punjab,Mumbai Indians,Mumbai,66,40,8,164,7.35,9.9,1
Chennai Super Kings,Mumbai Indians,Chennai,50,16,1,160,6.35,18.75,0
Chennai Super Kings,Mumbai Indians,Mumbai,79,40,4,170,6.82,11.85,1
Kings XI Punjab,Chennai Super Kings,Centurion,109,69,8,186,9.06,9.48,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,177,81,9,210,5.08,13.11,0
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,56,6,4,210,8.11,56.0,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,54,19,4,210,9.27,17.05,0
Mumbai Indians,Kings XI Punjab,Mumbai,107,65,8,190,9.05,9.88,0
Kings XI Punjab,Sunrisers Hyderabad,Cuttack,144,84,7,171,4.5,10.29,0
Delhi Capitals,Chennai Super Kings,Johannesburg,164,118,10,164,0.0,8.34,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,96,73,8,160,8.17,7.89,1
